last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-02-13 06:06:28  28772813264  1726428  1:50:04                 1428069            25   18683398
2021-02-13 04:16:24  28771385195  1726403  0:40:01                  262470             7    9444984
2021-02-13 03:36:23  28771122725  1726396  1:30:02                  866104            10   13852533
2021-02-13 02:06:21  28770256621  1726386  0:40:02                  434891             9   15643040
2021-02-13 01:26:19  28769821730  1726377  1:20:02                 1097463            15   19746106
2021-02-13 00:06:17  28768724267  1726362  1:00:08                  358791             9    8591890
2021-02-12 23:06:09  28768365476  1726353  0:59:46                  304525             6    7337133
2021-02-12 22:06:23  28768060951  1726347  1:59:59                 1657377            37   19891286
2021-02-12 20:06:24  28766403574  1726310  1:40:06                 1896547            28   27282993
2021-02-12 18:26:18  28764507027  1726282  0:29:58                  275770             4   13251684
2021-02-12 17:56:20  28764231257  1726278  0:30:02                  365993            10   17548166
2021-02-12 17:26:18  28763865264  1726268  1:40:01                  588844            17    8477940
2021-02-12 15:46:17  28763276420  1726251  0:50:09                  841859             9   24173020
2021-02-12 14:56:08  28762434561  1726242  1:49:46                 1050598            18   13782518
2021-02-12 13:06:22  28761383963  1726224  0:50:03                  569192             9   16376353
2021-02-12 12:16:19  28760814771  1726215  2:09:52                 1572842            31   17440137
2021-02-12 10:06:27  28759241929  1726184  1:50:04                  720807            17    9430303
2021-02-12 08:16:23  28758521122  1726167  2:10:08                  952706            21   10542238
2021-02-12 06:06:15  28757568416  1726146  2:00:01                 1356751            37   16278751
2021-02-12 04:06:14  28756211665  1726109  0:29:57                   82187             7    3951561
2021-02-12 03:36:17  28756129478  1726102  1:30:00                  748007            18   11968112
2021-02-12 02:06:17  28755381471  1726084  0:30:02                  402513             8   19299180
2021-02-12 01:36:15  28754978958  1726076  1:09:57                  785172            15   16163655
2021-02-12 00:26:18  28754193786  1726061  1:19:59                  493639            15    8887353
2021-02-11 23:06:19  28753700147  1726046  0:59:59                  506106            13   12149918
2021-02-11 22:06:20  28753194041  1726033  2:00:05                  886375            27   10629118
2021-02-11 20:06:15  28752307666  1726006  1:39:51                 1022835            19   14750950
2021-02-11 18:26:24  28751284831  1725987  1:10:11                  736726            17   15115916
2021-02-11 17:16:13  28750548105  1725970  1:09:55                  577884            15   11902068
2021-02-11 16:06:18  28749970221  1725955  2:00:03                 8109635           104   97275088
2021-02-11 14:06:15  28741860586  1725851  1:50:05                 1718327            26   22477434
2021-02-11 12:16:10  28740142259  1725825  2:17:20                  811013            29    8503825
